@relation 'tripadvisor_review-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-3,5-7,9-10_clustered'

@attribute Instance_number numeric
@attribute 'Category 4' numeric
@attribute 'Category 8' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
144,0.59,3.06,cluster3
145,0.38,2.93,cluster1
146,0.61,2.74,cluster2
147,0.67,3.12,cluster3
148,0.55,2.86,cluster1
149,0.51,2.8,cluster1
150,0.39,2.93,cluster1
151,0.55,2.74,cluster2
152,0.54,2.85,cluster1
153,0.57,2.66,cluster2
154,0.37,2.73,cluster2
155,0.29,2.8,cluster1
156,0.5,3.06,cluster3
157,0.37,2.77,cluster1
158,0.5,2.83,cluster1
159,0.27,2.63,cluster2
160,0.45,2.77,cluster1
161,0.37,2.58,cluster2
162,0.66,2.79,cluster1
163,0.47,2.82,cluster1
164,0.23,2.78,cluster1
165,0.5,2.91,cluster1
166,0.5,2.86,cluster1
167,0.46,2.9,cluster1
168,0.51,2.85,cluster1
169,0.46,2.97,cluster3
170,0.51,2.97,cluster3
171,0.48,2.98,cluster3
172,0.65,2.73,cluster2
173,0.49,2.94,cluster1
174,0.66,2.86,cluster1
175,1.05,2.86,cluster1
176,0.41,3.01,cluster3
177,0.41,2.97,cluster3
178,0.47,2.89,cluster1
179,0.54,2.86,cluster1
180,0.53,3.29,cluster3
181,0.43,2.75,cluster2
182,0.61,2.81,cluster1
183,0.37,2.69,cluster2
184,0.56,2.72,cluster2
185,0.43,2.85,cluster1
186,0.47,2.78,cluster1
187,0.56,3.07,cluster3
188,0.61,2.89,cluster1
189,0.33,2.94,cluster1
190,0.57,2.58,cluster2
191,0.65,2.75,cluster2
192,0.41,2.85,cluster1
193,0.35,2.74,cluster2
194,0.4,2.82,cluster1
195,0.34,2.94,cluster1
196,0.31,2.65,cluster2
197,0.38,2.74,cluster2
198,0.31,3.01,cluster3
199,1.79,2.77,cluster0
200,0.62,2.89,cluster1
201,0.55,2.85,cluster1
202,0.54,2.74,cluster2
203,0.39,2.91,cluster1
204,0.42,2.93,cluster1
205,0.33,2.73,cluster2
206,0.27,2.71,cluster2
207,0.5,2.94,cluster1
208,0.48,2.54,cluster2
209,0.21,2.88,cluster1
210,0.32,2.79,cluster1
211,0.34,2.78,cluster1
212,0.51,2.66,cluster2
213,0.38,2.79,cluster1
214,0.37,2.94,cluster1
215,0.49,2.77,cluster1
216,0.26,2.77,cluster1
217,0.45,2.71,cluster2
218,0.47,2.79,cluster1
219,0.45,2.87,cluster1
220,0.58,2.87,cluster1
221,0.41,2.73,cluster2
222,0.5,2.8,cluster1
223,0.47,2.86,cluster1
224,0.61,2.79,cluster1
225,0.35,2.73,cluster2
226,1.78,2.75,cluster0
227,0.41,2.82,cluster1
228,0.57,2.91,cluster1
229,0.55,2.94,cluster1
230,0.58,3.14,cluster3
231,0.64,3.04,cluster3
232,0.31,2.7,cluster2
233,0.35,2.7,cluster2
234,0.38,2.97,cluster3
235,0.4,2.82,cluster1
236,0.65,2.81,cluster1
237,0.73,2.99,cluster3
238,0.64,2.78,cluster1
239,0.15,2.95,cluster1
240,0.54,2.74,cluster2
241,0.54,2.81,cluster1
242,0.56,2.72,cluster2
243,0.41,2.75,cluster2
244,0.23,2.89,cluster1
245,0.42,2.88,cluster1
246,0.46,2.93,cluster1
247,2.73,2.63,cluster0
248,0.33,2.94,cluster1
249,0.4,2.82,cluster1
250,0.56,2.81,cluster1
251,0.39,2.94,cluster1
252,0.4,2.56,cluster2
253,0.71,2.66,cluster2
254,0.42,2.59,cluster2
255,0.54,2.67,cluster2
256,0.39,2.98,cluster3
257,1.62,2.74,cluster0
258,0.48,3.06,cluster3
259,0.72,2.54,cluster2
260,0.53,2.85,cluster1
261,0.63,3.1,cluster3
262,0.53,3.02,cluster3
263,0.51,3.13,cluster3
264,0.41,2.94,cluster1
265,0.59,2.77,cluster1
266,0.5,2.82,cluster1
267,0.59,2.82,cluster1
268,0.45,2.64,cluster2
269,0.48,2.86,cluster1
270,0.42,2.93,cluster1
271,0.54,3.04,cluster3
272,0.64,2.66,cluster2
273,0.56,2.97,cluster3
274,2.91,2.78,cluster0
275,0.38,2.74,cluster2
276,0.5,2.82,cluster1
277,0.49,3.04,cluster3
278,0.48,2.63,cluster2
279,0.46,2.83,cluster1
280,0.51,2.74,cluster2
281,0.49,3.22,cluster3
282,0.59,2.8,cluster1
283,0.66,2.83,cluster1
284,0.59,2.78,cluster1
285,0.48,2.86,cluster1
286,2.25,2.67,cluster0
287,0.61,2.67,cluster2
288,0.46,2.82,cluster1
289,0.42,2.82,cluster1
290,0.54,2.87,cluster1
291,0.41,2.72,cluster2
292,0.3,2.89,cluster1
293,0.49,3.26,cluster3
294,0.38,2.69,cluster2
295,1.11,2.73,cluster2
296,0.51,2.65,cluster2
297,0.57,2.78,cluster1
298,0.39,2.85,cluster1
299,0.48,2.83,cluster1
300,0.53,2.82,cluster1
301,0.64,2.82,cluster1
302,0.61,2.82,cluster1
303,0.41,2.86,cluster1
304,0.5,2.77,cluster1
305,0.56,2.63,cluster2
306,0.47,2.86,cluster1
307,0.58,3.02,cluster3
308,0.74,3.22,cluster3
309,0.64,2.58,cluster2
310,0.49,2.77,cluster1
311,0.37,2.89,cluster1
312,0.45,2.83,cluster1
313,0.49,2.85,cluster1
314,0.53,2.78,cluster1
315,0.47,2.8,cluster1
316,0.47,2.75,cluster2
317,0.43,2.88,cluster1
318,0.53,2.8,cluster1
319,0.25,2.97,cluster3
320,0.39,3.09,cluster3
321,0.43,2.98,cluster3
322,0.53,2.69,cluster2
323,0.33,2.98,cluster3
324,0.51,2.95,cluster1
325,0.56,2.74,cluster2
326,0.54,2.97,cluster3
327,0.56,2.78,cluster1
328,0.51,2.77,cluster1
329,0.56,3.05,cluster3
330,0.34,2.88,cluster1
331,0.45,2.69,cluster2
332,0.62,2.78,cluster1
333,0.73,2.71,cluster2
334,0.62,2.62,cluster2
335,0.63,2.81,cluster1
336,0.4,2.7,cluster2
337,0.5,2.82,cluster1
338,0.54,2.94,cluster1
339,0.49,2.88,cluster1
340,0.46,2.88,cluster1
341,0.63,2.97,cluster3
342,0.35,2.97,cluster3
343,0.49,2.82,cluster1
344,0.5,2.66,cluster2
345,0.35,2.87,cluster1
346,0.59,2.93,cluster1
347,0.41,2.95,cluster1
348,0.48,2.94,cluster1
349,0.63,2.78,cluster1
350,0.39,2.71,cluster2
351,0.42,2.95,cluster1
352,0.29,2.96,cluster3
353,0.42,3.07,cluster3
354,0.29,2.72,cluster2
355,0.81,2.75,cluster2
356,1.04,2.89,cluster1
357,0.55,2.83,cluster1
358,0.54,3.25,cluster3
359,0.3,2.62,cluster2
360,0.56,2.82,cluster1
361,0.53,2.8,cluster1
362,0.64,2.67,cluster2
363,0.37,3.01,cluster3
364,0.55,3.17,cluster3
365,0.61,2.73,cluster2
366,0.59,2.79,cluster1
367,0.56,3.04,cluster3
368,0.45,2.94,cluster1
369,0.53,2.7,cluster2
370,0.3,2.82,cluster1
371,0.46,2.73,cluster2
372,1.68,2.79,cluster0
373,0.69,2.86,cluster1
374,0.53,2.94,cluster1
375,0.67,2.9,cluster1
376,0.64,2.71,cluster2
377,0.5,2.94,cluster1
378,0.54,2.94,cluster1
379,0.51,2.66,cluster2
380,0.24,3.02,cluster3
381,0.17,2.99,cluster3
382,0.87,2.95,cluster1
383,0.33,2.87,cluster1
384,0.22,2.85,cluster1
385,0.69,2.66,cluster2
386,0.54,2.82,cluster1
387,0.61,2.78,cluster1
388,0.57,2.7,cluster2
389,0.65,2.74,cluster2
390,0.5,2.97,cluster3
391,0.29,2.66,cluster2
392,0.63,3.13,cluster3
393,0.5,2.91,cluster1
394,0.37,3.14,cluster3
395,0.48,2.87,cluster1
396,0.43,2.66,cluster2
397,0.49,2.86,cluster1
398,0.26,2.89,cluster1
399,0.41,2.86,cluster1
400,0.48,3.05,cluster3
401,0.57,2.94,cluster1
402,0.78,2.97,cluster3
403,0.47,2.7,cluster2
404,0.56,2.74,cluster2
405,0.63,2.75,cluster2
406,0.43,2.77,cluster1
407,0.63,2.78,cluster1
408,0.45,2.66,cluster2
409,0.61,2.91,cluster1
410,0.33,2.74,cluster2
411,0.56,2.83,cluster1
412,0.54,2.66,cluster2
413,0.91,2.7,cluster2
414,0.53,2.87,cluster1
415,0.63,2.78,cluster1
416,0.31,3.15,cluster3
417,0.29,2.93,cluster1
418,0.43,2.89,cluster1
419,0.66,2.87,cluster1
420,0.43,2.64,cluster2
421,0.37,2.61,cluster2
422,1.58,2.74,cluster0
423,0.42,3.07,cluster3
424,0.37,2.86,cluster1
425,0.78,2.85,cluster1
426,0.41,2.78,cluster1
427,0.32,2.9,cluster1
428,0.45,2.73,cluster2
429,0.38,2.93,cluster1
430,0.66,2.95,cluster1
431,0.67,2.96,cluster3
432,0.49,2.54,cluster2
433,0.58,2.71,cluster2
434,0.47,2.73,cluster2
435,0.43,2.89,cluster1
436,0.46,2.88,cluster1
437,2.11,2.78,cluster0
438,0.49,3.13,cluster3
439,0.64,2.77,cluster1
440,0.46,2.7,cluster2
441,0.42,2.63,cluster2
442,0.43,2.75,cluster2
443,0.5,2.89,cluster1
444,0.62,2.82,cluster1
445,0.19,2.7,cluster2
446,0.48,2.78,cluster1
447,0.29,2.91,cluster1
448,0.45,2.82,cluster1
449,0.43,2.91,cluster1
450,0.4,2.86,cluster1
451,0.57,2.74,cluster2
452,0.45,2.83,cluster1
453,0.49,2.74,cluster2
454,0.57,2.75,cluster2
455,0.29,2.7,cluster2
456,0.46,2.67,cluster2
457,0.56,2.8,cluster1
458,0.53,2.75,cluster2
459,0.48,2.75,cluster2
460,0.5,3.2,cluster3
461,0.24,2.61,cluster2
462,0.54,2.78,cluster1
463,0.46,3.07,cluster3
464,0.61,2.88,cluster1
465,0.64,3.04,cluster3
466,0.3,2.67,cluster2
467,0.65,3.38,cluster3
468,0.4,2.78,cluster1
469,0.48,2.77,cluster1
470,0.38,2.42,cluster2
471,0.43,2.95,cluster1
472,0.46,2.72,cluster2
473,0.85,2.94,cluster1
474,0.32,2.63,cluster2
475,0.64,2.94,cluster1
476,0.4,2.82,cluster1
477,0.32,2.62,cluster2
478,0.85,2.69,cluster2
479,0.42,2.58,cluster2
480,0.53,2.66,cluster2
481,0.71,2.86,cluster1
482,0.55,2.74,cluster2
483,0.53,3.18,cluster3
484,0.51,2.9,cluster1
485,0.27,2.66,cluster2
486,0.62,2.94,cluster1
487,0.57,3.06,cluster3
488,0.31,2.91,cluster1
489,0.79,2.77,cluster1
490,0.37,2.69,cluster2
491,0.33,3.03,cluster3
492,0.39,2.79,cluster1
493,0.53,2.79,cluster1
494,0.57,2.78,cluster1
495,0.39,2.95,cluster1
496,0.48,2.88,cluster1
497,0.51,2.75,cluster2
498,0.45,2.96,cluster3
499,0.5,2.98,cluster3
500,0.51,2.7,cluster2
501,0.32,2.86,cluster1
502,0.41,2.83,cluster1
503,0.35,3.01,cluster3
504,0.58,2.99,cluster3
505,0.51,2.89,cluster1
506,0.48,3.05,cluster3
507,0.64,2.74,cluster2
508,0.51,2.81,cluster1
509,0.33,3.07,cluster3
510,0.55,2.66,cluster2
511,0.33,2.94,cluster1
512,0.53,2.9,cluster1
513,0.65,2.69,cluster2
514,0.42,2.57,cluster2
515,0.5,2.97,cluster3
516,0.72,2.9,cluster1
517,0.53,2.9,cluster1
518,0.37,2.62,cluster2
519,0.55,3.23,cluster3
520,0.33,2.89,cluster1
521,0.61,2.77,cluster1
522,0.57,2.58,cluster2
523,0.42,2.86,cluster1
524,0.57,2.95,cluster1
525,0.49,2.7,cluster2
526,0.49,2.78,cluster1
527,0.59,3.06,cluster3
528,0.39,2.72,cluster2
529,0.58,2.95,cluster1
530,0.64,2.78,cluster1
531,0.69,2.9,cluster1
532,0.56,2.66,cluster2
533,0.45,2.9,cluster1
534,0.41,2.66,cluster2
535,0.45,2.77,cluster1
536,0.72,2.75,cluster2
537,0.51,2.66,cluster2
538,0.47,2.83,cluster1
539,0.42,2.83,cluster1
540,0.35,2.86,cluster1
541,0.34,2.64,cluster2
542,0.46,2.98,cluster3
543,0.4,2.77,cluster1
544,0.57,2.74,cluster2
545,0.41,2.98,cluster3
546,0.46,2.59,cluster2
547,0.58,2.95,cluster1
548,0.61,2.82,cluster1
549,0.48,2.95,cluster1
550,0.35,2.85,cluster1
551,0.56,2.72,cluster2
552,0.47,3.06,cluster3
553,0.75,2.85,cluster1
554,0.53,2.71,cluster2
555,0.5,2.88,cluster1
556,0.49,2.82,cluster1
557,0.53,2.74,cluster2
558,0.33,2.98,cluster3
559,0.35,3.03,cluster3
560,0.5,2.63,cluster2
561,0.49,2.61,cluster2
562,0.55,2.85,cluster1
563,0.5,2.64,cluster2
564,0.62,2.86,cluster1
565,0.24,2.74,cluster2
566,0.57,2.86,cluster1
567,0.48,2.98,cluster3
568,0.56,2.62,cluster2
569,0.43,2.95,cluster1
570,0.56,2.72,cluster2
571,0.29,2.98,cluster3
572,0.39,2.85,cluster1
573,0.41,2.67,cluster2
574,0.62,3.02,cluster3
575,0.66,2.83,cluster1
576,0.43,3.03,cluster3
577,0.56,2.8,cluster1
578,0.56,2.81,cluster1
579,1.12,2.8,cluster1
580,0.33,2.74,cluster2
581,0.47,2.79,cluster1
582,0.62,2.78,cluster1
583,0.45,2.86,cluster1
584,0.47,2.72,cluster2
585,0.48,3.01,cluster3
586,0.33,2.88,cluster1
587,0.32,2.79,cluster1
588,0.58,2.66,cluster2
589,0.39,2.89,cluster1
590,0.5,2.81,cluster1
591,0.31,2.98,cluster3
592,2.38,2.81,cluster0
593,0.54,2.87,cluster1
594,0.39,2.96,cluster3
595,0.35,2.98,cluster3
596,0.49,2.97,cluster3
597,0.65,2.86,cluster1
598,0.5,2.7,cluster2
599,0.5,2.78,cluster1
600,0.4,2.83,cluster1
601,3.1,2.77,cluster0
602,0.61,2.61,cluster2
603,0.35,2.94,cluster1
604,0.91,3.09,cluster3
605,0.39,3.09,cluster3
606,0.4,2.58,cluster2
607,0.48,2.89,cluster1
608,0.48,2.67,cluster2
609,0.59,2.85,cluster1
610,0.58,3.02,cluster3
611,0.62,2.78,cluster1
612,0.39,3.39,cluster3
613,0.51,2.87,cluster1
614,0.5,2.97,cluster3
615,0.33,2.7,cluster2
616,0.64,2.85,cluster1
617,0.39,2.93,cluster1
618,0.43,3.03,cluster3
619,0.38,2.85,cluster1
620,0.49,2.7,cluster2
621,0.55,2.85,cluster1
622,0.43,2.7,cluster2
623,0.51,2.8,cluster1
624,0.42,2.71,cluster2
625,0.59,2.95,cluster1
626,0.5,2.89,cluster1
627,0.34,2.73,cluster2
628,0.43,2.75,cluster2
629,0.41,2.9,cluster1
630,0.41,2.72,cluster2
631,0.34,2.81,cluster1
632,0.49,2.56,cluster2
633,0.61,2.79,cluster1
634,0.46,2.78,cluster1
635,0.63,2.86,cluster1
636,0.55,2.88,cluster1
637,0.66,2.85,cluster1
638,0.58,2.95,cluster1
639,0.42,2.87,cluster1
640,0.63,2.98,cluster3
641,0.61,3.22,cluster3
642,0.66,2.72,cluster2
643,0.61,2.82,cluster1
644,0.49,2.69,cluster2
645,0.41,2.81,cluster1
646,0.56,2.86,cluster1
647,0.39,2.77,cluster1
648,0.5,2.9,cluster1
649,0.51,2.74,cluster2
650,0.56,3.2,cluster3
651,0.24,2.9,cluster1
652,0.41,2.81,cluster1
653,0.51,3.04,cluster3
654,0.58,2.63,cluster2
655,0.66,2.65,cluster2
656,0.39,2.82,cluster1
657,0.47,2.87,cluster1
658,0.34,3.18,cluster3
659,0.51,2.81,cluster1
660,0.53,2.82,cluster1
661,0.42,3.07,cluster3
662,0.5,2.86,cluster1
663,0.5,2.91,cluster1
664,0.43,2.86,cluster1
665,0.27,2.78,cluster1
666,3.44,2.62,cluster0
667,0.67,2.7,cluster2
668,0.32,2.79,cluster1
669,0.41,2.83,cluster1
670,0.49,2.86,cluster1
671,0.59,2.85,cluster1
672,0.46,2.74,cluster2
673,0.47,2.74,cluster2
674,0.61,2.74,cluster2
675,0.38,2.66,cluster2
676,0.26,2.89,cluster1
677,0.5,2.75,cluster2
678,0.43,2.77,cluster1
679,0.41,2.91,cluster1
680,0.65,2.88,cluster1
681,0.29,2.94,cluster1
682,0.5,2.94,cluster1
683,0.51,3.02,cluster3
684,0.61,2.82,cluster1
685,0.62,2.89,cluster1
686,0.46,2.85,cluster1
687,0.57,2.88,cluster1
688,0.35,2.74,cluster2
689,0.62,2.85,cluster1
690,0.39,2.95,cluster1
691,0.31,2.83,cluster1
692,0.25,2.98,cluster3
693,0.49,2.83,cluster1
694,2.25,2.69,cluster0
695,0.47,2.95,cluster1
696,0.41,2.9,cluster1
697,0.69,2.72,cluster2
698,0.4,2.77,cluster1
699,0.4,2.7,cluster2
700,0.61,2.98,cluster3
701,0.55,2.94,cluster1
702,0.79,2.66,cluster2
703,0.43,2.95,cluster1
704,0.24,2.8,cluster1
705,0.42,2.86,cluster1
706,0.55,2.99,cluster3
707,0.58,2.81,cluster1
708,0.72,2.86,cluster1
709,0.33,2.85,cluster1
710,0.66,2.79,cluster1
711,0.61,2.93,cluster1
712,0.4,3.19,cluster3
713,0.41,2.7,cluster2
714,0.41,2.9,cluster1
715,0.31,2.9,cluster1
716,0.42,3.07,cluster3
717,0.59,2.62,cluster2
718,0.62,2.82,cluster1
719,0.63,2.9,cluster1
720,0.63,2.93,cluster1
721,0.4,2.66,cluster2
722,0.71,2.82,cluster1
723,0.69,2.73,cluster2
724,0.38,2.91,cluster1
725,0.54,2.86,cluster1
726,0.53,2.95,cluster1
727,0.67,3.07,cluster3
728,1.98,2.7,cluster0
729,0.39,2.79,cluster1
730,0.33,2.91,cluster1
731,0.71,2.98,cluster3
732,0.59,2.86,cluster1
733,0.43,2.66,cluster2
734,0.35,2.74,cluster2
735,0.65,2.93,cluster1
736,0.56,2.82,cluster1
737,0.64,3.04,cluster3
738,0.61,2.94,cluster1
739,0.32,2.67,cluster2
740,0.64,2.82,cluster1
741,0.55,2.87,cluster1
742,0.41,2.94,cluster1
743,0.51,2.66,cluster2
744,0.39,2.87,cluster1
745,0.9,2.85,cluster1
746,0.47,2.9,cluster1
747,1.83,2.74,cluster0
748,0.38,2.66,cluster2
749,0.42,2.86,cluster1
750,0.66,2.74,cluster2
751,0.38,3.04,cluster3
752,0.59,2.77,cluster1
753,0.39,3.01,cluster3
754,0.75,2.78,cluster1
755,0.39,3.12,cluster3
756,0.45,3.14,cluster3
757,0.46,2.83,cluster1
758,0.41,2.69,cluster2
759,0.33,2.81,cluster1
760,0.62,2.78,cluster1
761,0.59,2.88,cluster1
762,0.46,2.94,cluster1
763,0.49,2.88,cluster1
764,0.57,2.54,cluster2
765,0.37,2.75,cluster2
766,0.61,2.66,cluster2
767,0.55,2.87,cluster1
768,0.69,3.19,cluster3
769,0.53,2.86,cluster1
770,0.46,2.77,cluster1
771,0.29,2.48,cluster2
772,0.5,3.01,cluster3
773,0.51,2.62,cluster2
774,0.53,2.95,cluster1
775,1.1,3.17,cluster3
776,0.35,3.04,cluster3
777,0.5,2.86,cluster1
778,0.55,2.66,cluster2
779,0.29,2.98,cluster3
780,0.54,2.81,cluster1
781,0.47,2.87,cluster1
782,0.55,2.75,cluster2
783,0.3,2.99,cluster3
784,0.43,2.95,cluster1
785,0.45,3.1,cluster3
786,0.53,2.98,cluster3
787,0.63,2.87,cluster1
788,0.34,2.81,cluster1
789,0.43,2.78,cluster1
790,0.33,2.98,cluster3
791,0.56,2.72,cluster2
792,0.54,2.74,cluster2
793,0.46,2.95,cluster1
794,0.55,2.81,cluster1
795,0.59,2.82,cluster1
796,0.42,3.01,cluster3
797,0.55,2.63,cluster2
798,0.47,2.78,cluster1
799,0.53,2.9,cluster1
800,0.49,2.86,cluster1
801,0.47,2.74,cluster2
802,0.47,3.07,cluster3
803,0.55,2.83,cluster1
804,0.5,2.79,cluster1
805,0.55,2.7,cluster2
806,0.58,2.87,cluster1
807,0.56,2.74,cluster2
808,0.51,2.7,cluster2
809,0.57,2.73,cluster2
810,0.61,2.86,cluster1
811,0.53,3.33,cluster3
812,0.39,3.02,cluster3
813,0.42,2.87,cluster1
814,0.54,2.97,cluster3
815,0.58,2.88,cluster1
816,0.54,2.75,cluster2
817,0.58,2.91,cluster1
818,0.57,2.94,cluster1
819,0.57,2.58,cluster2
820,0.56,2.94,cluster1
821,0.57,2.83,cluster1
822,0.47,2.74,cluster2
823,0.58,2.74,cluster2
824,1.05,2.7,cluster2
825,0.65,2.66,cluster2
826,0.57,2.86,cluster1
827,0.43,2.58,cluster2
828,0.58,2.63,cluster2
829,2.29,2.69,cluster0
830,0.48,3.06,cluster3
831,0.51,2.74,cluster2
832,0.27,2.67,cluster2
833,0.38,2.78,cluster1
834,0.5,2.88,cluster1
835,0.47,2.74,cluster2
836,0.65,2.8,cluster1
837,1.3,2.74,cluster0
838,0.53,3.05,cluster3
839,0.47,2.81,cluster1
840,0.33,3.03,cluster3
841,0.32,2.82,cluster1
842,0.41,2.8,cluster1
843,0.35,2.88,cluster1
844,0.35,3.06,cluster3
845,0.48,2.87,cluster1
846,0.37,2.64,cluster2
847,0.62,2.85,cluster1
848,0.39,2.75,cluster2
849,0.22,2.71,cluster2
850,0.47,2.97,cluster3
851,0.53,2.79,cluster1
852,0.61,2.93,cluster1
853,0.65,2.87,cluster1
854,0.53,2.74,cluster2
855,0.34,2.79,cluster1
856,0.65,2.87,cluster1
857,0.45,2.91,cluster1
858,0.56,3.2,cluster3
859,0.58,2.72,cluster2
860,0.56,2.86,cluster1
861,0.5,3.07,cluster3
862,0.62,2.86,cluster1
863,0.38,2.83,cluster1
864,0.33,2.93,cluster1
865,0.39,2.9,cluster1
866,0.4,2.82,cluster1
867,0.43,2.8,cluster1
868,0.42,2.89,cluster1
869,0.51,2.97,cluster3
870,0.59,2.8,cluster1
871,0.49,2.79,cluster1
872,0.35,2.78,cluster1
873,0.66,3.13,cluster3
874,0.39,2.94,cluster1
875,0.67,3.05,cluster3
876,0.51,2.7,cluster2
877,0.25,2.86,cluster1
878,0.42,2.78,cluster1
879,0.54,2.87,cluster1
880,0.42,2.85,cluster1
881,0.39,2.49,cluster2
882,0.47,2.86,cluster1
883,0.71,2.66,cluster2
884,0.47,2.75,cluster2
885,0.64,2.9,cluster1
886,0.51,2.74,cluster2
887,0.41,2.81,cluster1
888,0.95,2.66,cluster2
889,0.48,2.57,cluster2
890,0.62,2.74,cluster2
891,0.53,2.74,cluster2
892,0.53,2.95,cluster1
893,0.55,2.83,cluster1
894,0.49,2.77,cluster1
895,0.61,2.87,cluster1
896,0.94,3.04,cluster3
897,0.35,3.02,cluster3
898,0.35,2.67,cluster2
899,0.48,2.66,cluster2
900,0.37,2.78,cluster1
901,0.55,2.71,cluster2
902,1.09,3.14,cluster3
903,1.91,2.64,cluster0
904,0.31,2.72,cluster2
905,0.42,2.91,cluster1
906,0.59,2.94,cluster1
907,0.53,2.95,cluster1
908,0.49,3.22,cluster3
909,0.34,2.49,cluster2
910,0.53,2.93,cluster1
911,0.46,2.93,cluster1
912,0.29,2.97,cluster3
