@relation mydata-weka.filters.unsupervised.attribute.Remove-R5-6-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R7-8-weka.filters.unsupervised.attribute.Remove-R8-9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R1

@attribute GP numeric
@attribute PTS numeric
@attribute FG. numeric
@attribute X3P. numeric
@attribute FT. numeric
@attribute REB numeric
@attribute AST numeric
@attribute STL numeric
@attribute BLK numeric
@attribute TOV numeric
@attribute TARGET_5Yrs numeric

@data
19,1.6,37.8,0,37.5,1,0.4,0.3,0.2,0.3,0
36,1.3,35.3,11.8,66.7,0.6,0.6,0.1,0,0.5,0
79,18,42.2,27.3,73.6,8.8,4,1.4,1.1,2.9,1
55,3.4,30.4,20.4,74.5,1.2,0.5,0.7,0.1,0.7,0
74,18.4,46.7,34.2,73.1,10.3,2.2,1,1.3,2.9,1
64,14.3,40.6,36.5,77,2.8,4,1.3,0.2,2.5,0
82,15.7,42.5,37.4,75,2.9,1.6,0.8,0.3,1.6,1
82,7.2,45,7.7,71.1,3,6.4,2,0.2,2.2,1
81,7.1,51.2,0,72.2,7.9,0.3,0.6,1.5,0.9,1
76,12,44.1,13.3,78.2,3.4,1.4,0.9,0.3,1.9,1
82,8.7,46.4,20.6,87.3,2.2,4.2,1,0.2,1.7,0
82,8.7,46.4,20.6,87.3,2.2,4.2,1,0.2,1.7,1
49,1.9,32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,0
49,1.9,32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,1
82,11,45,14.3,83.5,3.2,3.7,1.3,0.5,2,1
76,6.9,50.8,0,63.6,5.1,0.9,0.6,1.9,1.3,1
67,14.1,41.3,24,85.7,1.8,3.1,0.8,0.1,1.6,1
70,8.8,43.9,9.7,70.7,2.1,2.5,0.4,0.2,1.6,0
81,8.6,42.8,29.9,81.6,3.5,1.8,0.5,0.3,1.5,1
33,7.2,49.7,40,84.3,3.3,1.4,0.6,0.3,0.9,1
58,5.3,41.7,0,55,5.6,0.4,0.6,1.2,0.9,0
70,7.2,41.9,25,79.6,1.7,1.3,0.3,0.1,1,0
82,4.9,41.2,17.6,74.7,1.9,2.8,0.8,0.1,1.2,1
62,6.9,38,29.2,77.3,1.9,1.2,0.5,0.1,1.2,0
78,6.2,42.5,0,67.2,4.3,0.4,0.2,0.3,1.4,0
73,5.5,48.7,0,66.2,4.8,0.5,0.3,0.3,0.7,1
74,5.3,49.2,0,63.2,5.2,0.3,0.5,0.4,1,1
76,6.7,42.1,29.8,63,2.9,0.8,0.6,0.3,0.9,0
55,5.7,46.5,0,71.2,4.2,0.6,0.6,0.5,0.8,1
47,5.6,44.6,18.2,58.8,1.5,2.8,0.7,0.2,1.6,0
37,8.1,44.1,40,72.2,2.1,0.9,0.4,0.1,1,1
62,4.3,46.5,0,64.4,2.7,0.6,0.2,0.2,1,0
62,3.9,38.4,16.1,80.5,1,1.3,0.5,0.1,0.9,0
51,6.9,43.8,11.8,68.4,2,0.8,0.6,0.2,0.8,0
36,3.9,41.3,0,55.6,1.4,1,0.4,0,0.8,1
74,3.1,41.6,25,65.2,1.9,0.7,0.5,0.2,0.3,1
63,8.2,48.7,16.7,66.3,2.4,0.6,0.3,0.1,1.1,1
33,2.2,34.8,27.3,64.3,2.2,0.8,0.5,0.2,0.3,0
54,4.4,46,0,68.9,2.8,0.7,0.2,0.4,0.8,1
73,3.8,40.8,27.8,73.2,1.1,1.2,0.5,0.1,0.7,0
15,3.6,40.4,0,66.7,3,0.2,0.3,0.3,0.7,0
64,3.7,44.1,0,70.2,1.1,2.1,0.4,0.2,1.1,1
56,3.4,41.5,0,80,0.8,1.9,0.5,0.1,0.8,0
64,3.2,39.1,0,69.6,1.2,1,0.3,0.1,0.8,0
68,3.1,41.8,33.3,90.5,0.8,1.9,0.5,0,0.6,1
47,2.9,40.3,37.5,75.8,1.4,0.7,0.3,0,0.5,0
52,3.5,44.7,50,66.1,2.1,0.3,0.2,0.1,0.8,1
64,3.7,40,40,77.8,1,0.4,0.3,0.2,0.5,0
34,2.9,36.7,0,44.4,1.9,0.5,0.1,0.1,0.7,0
42,3.8,43.9,0,55,2.9,0.4,0.1,0.7,0.8,1
50,4.5,45.8,15.8,84.8,1.3,0.7,0.2,0,1,1
52,2.8,45.5,0,65.3,1.8,0.2,0.2,0.7,0.3,1
75,2.9,52,0,68,1.7,0.4,0.1,0.4,0.6,0
39,2.2,42,24,48,1.7,0.5,0.4,0.3,0.3,1
51,2.5,51,50,71.4,1.9,0.3,0.2,0.3,0.5,1
52,1.3,37.3,0,54.5,1.5,0.1,0.1,0.1,0.1,0
39,1.5,51.3,0,90.5,1.2,0.2,0.1,0.1,0.1,1
82,24.3,53.1,0,73.2,12,2,1.7,3.9,3.1,1
31,3.4,35.3,25.8,55.2,1.4,0.4,0.3,0.1,0.2,0
79,14.7,47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,0
79,14.7,47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,1
82,11.1,44,0,66.4,8.4,1.2,1.1,0.7,2.1,1
82,11.4,46.1,27.7,58.9,2.6,6.8,1.6,0.3,1.7,1
81,14.3,49.4,16.1,68.7,2.5,7.6,1.8,0.1,3,1
80,12.7,44.6,0,76.8,5.8,1.1,0.8,0.7,1.2,1
77,13.6,43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,1
77,13.6,43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,0
50,10.1,37.1,22.5,77.8,2.8,4.2,1.6,0.3,2.2,1
81,10,48.1,11.1,86.6,3.7,1.9,0.6,0.2,1.4,1
82,8.9,50.7,30,71.9,3.1,1.8,0.9,0.4,1.9,1
50,3.7,44.9,13.3,57.4,2.9,0.3,0.2,0.4,0.4,0
81,11.5,49.4,5.9,70.5,3.9,1.5,0.8,0.4,1.7,1
82,8.9,50.4,0,72.7,4.7,1.1,0.5,0.7,1.4,1
81,9.7,40.5,39.9,80.9,1.6,2.5,0.7,0,1.5,1
69,6.3,41.1,13.3,70.5,2.3,0.6,0.6,0.2,0.7,0
82,9.1,39.7,27.3,55,3.8,0.9,0.7,0.7,1.6,1
55,6.1,47.9,0,66.7,3.4,1,0.4,0.2,1.1,0
75,7.3,47,0,76.2,3.1,0.7,0.4,0.3,0.9,1
72,8.7,49.7,0,72.2,5,0.6,0.3,0.2,0.7,0
79,8,48.6,0,74.7,1.9,1.5,0.7,0.2,1.2,1
25,3.3,39.5,38.5,69.2,3.4,0.2,0.2,0.4,0.4,0
81,5.6,48.5,50,88.5,1.3,2.5,0.6,0.1,1,1
63,4.7,46.6,0,62.1,3.6,0.4,0.4,0.4,1.1,1
81,6.5,47.9,16.7,73.6,4.3,0.3,0.6,0.9,1.3,1
61,5.3,43.7,0,64.3,2.8,0.8,0.2,0.2,0.8,1
43,4.6,40.6,14.3,68,1.2,1.9,0.3,0.1,0.8,0
55,4.3,36.9,7.1,56.2,3.1,0.4,0.4,0.1,0.8,1
59,4.1,54.7,25,67.1,2.1,0.6,0.6,0.2,0.5,0
66,5.9,45.9,0,77.7,2.1,0.7,0.5,0.1,1.2,1
70,16.7,40.5,26.4,70.3,6.2,6.3,1.9,0.6,3.5,0
77,3.5,42.9,28.6,66,0.7,2.3,0.3,0,1.1,0
37,3.9,29.8,23.3,69.4,0.9,1.8,0.5,0.1,1.4,0
67,3.1,38.4,18.8,66.1,0.9,2.5,0.5,0,1.1,1
42,1.9,43,0,50,2.9,0.5,0.2,0.3,0.4,0
50,5.2,47.3,35.7,67,1.5,0.9,0.6,0,0.8,0
65,5,47.6,7.1,82.8,1.5,1.2,0.1,0,0.8,0
65,5,47.6,7.1,82.8,1.5,1.2,0.1,0,0.8,1
82,6.9,54.2,0,48.5,5.9,0.8,0.7,0.6,1.3,0
82,6.9,54.2,0,48.5,5.9,0.8,0.7,0.6,1.3,1
44,2.7,31.3,32.5,78.9,1,1,0.4,0.1,0.8,1
36,4.3,47.5,0,61.5,1.4,0.6,0.5,0.2,0.7,0
60,2.9,44.4,0,69.7,1.2,1.7,0.6,0.1,0.6,1
60,2.9,44.4,0,69.7,1.2,1.7,0.6,0.1,0.6,1
60,2.9,44.4,0,69.7,1.2,1.7,0.6,0.1,0.6,0
71,16.3,49.5,0,72.5,6.5,1.5,1,1.3,2.1,1
71,16.3,49.5,0,72.5,6.5,1.5,1,1.3,2.1,1
71,16.3,49.5,0,72.5,6.5,1.5,1,1.3,2.1,0
34,3.5,39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,1
34,3.5,39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,1
34,3.5,39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,0
45,4.5,49.4,0,60.9,2.4,0.4,0.2,0.1,0.9,0
70,12.8,38,33,90.3,3,5.7,0.6,0.1,1.9,0
57,2,36.8,25,61.5,1.2,0.4,0.3,0.1,0.4,0
52,2.6,39.3,27.3,81.3,1.3,0.3,0.2,0.1,0.6,1
51,1.9,55.3,0,46.4,2.1,0.1,0.2,0.3,0.6,1
35,3.3,43.5,40,88.9,0.7,0.3,0.2,0.2,0.6,0
48,1.1,23.8,16.7,76.5,0.6,1.3,0.3,0,0.5,0
21,0.7,33.3,0,50,1.1,0.1,0.1,0.3,0.1,0
36,2,33.8,28.6,80,0.6,0.3,0.1,0,0.6,0
21,2.2,37.5,25,69.2,1.1,0,0.1,0.4,0.3,0
79,22,46.8,36.7,81,5.9,4.2,1,0.2,3.4,1
81,18.6,49.8,19,77.5,5.1,4.6,1.9,0.8,3.2,1
80,13.8,41.9,32.7,78,4.1,4.1,1.6,0.5,3.2,0
79,15.1,45.5,42.8,83.1,2.8,3,1.5,0.5,2,1
79,13.8,42.5,27,74.6,3.3,4.4,1.8,0.3,3.1,1
82,11.9,48.6,0,74.9,6.7,1.8,1.5,0.6,2.5,1
75,16.9,41.4,31.4,79.5,2.5,2.3,0.9,0.3,1.5,1
82,8.6,43.3,0,82.6,4.6,5.8,0.9,0.3,2.3,1
76,14.1,45.7,36.6,71.7,5.2,1.6,1.3,0.8,2.5,1
71,11.9,43.5,22.7,73.5,3.4,7.1,2,0.1,3.6,1
79,11.7,43.2,24.8,74.5,2.6,3.8,1.1,0.1,2.3,1
82,8.8,37.6,32,80.4,2.9,1,0.6,0.2,1.2,0
54,8.6,41.9,32.9,61.4,3.9,2.4,1.2,0.3,0.9,1
55,8,42,25,67.3,5.2,2.1,0.7,0.5,1.9,0
64,11,45,40.6,78.9,3.1,1.3,0.6,0.3,1.3,0
71,6.4,49,0,80.3,2.2,3.4,1.1,0.1,1.6,0
36,5.7,41.7,14.3,69.5,2.5,4.3,1.2,0.1,2.3,0
65,7.4,50.1,0,57.1,4.5,1,1,0.3,1.2,0
80,7.1,47.5,30,85,2.1,2.6,0.8,0.2,1,1
32,6.8,46.7,20,69.2,1.5,3.7,0.8,0.1,1.7,0
81,9.3,43.7,20.8,78.3,3.2,1,0.6,0.1,1.7,0
80,11.5,43.4,22.5,78.6,2.3,1.5,0.5,0.1,1.6,1
71,5.6,46.4,0,59.6,2.3,1.1,0.5,0.4,0.4,1
81,8.9,46.7,32.2,74.5,2,3.9,1.2,0,1.8,1
82,5.2,42,35.9,88.4,1.1,3.7,0.8,0,0.8,1
24,5.1,44.3,0,57.8,2.1,0.9,0.7,0.1,1.4,0
65,5.5,48.8,0,68.9,3.6,0.3,0.2,0.2,0.7,0
56,5,48.6,0,58,3.2,0.6,0.4,0.1,0.7,1
36,1.6,43.1,0,69.2,1.9,0.2,0.1,0.1,0.3,1
51,4.8,44.5,0,72.5,2.2,0.8,0.4,0.3,0.9,0
75,4.3,54.5,0,69.9,2.7,0.2,0.1,0.3,0.9,1
54,4.8,42.6,0,38.4,3.7,1.1,0.4,0.1,0.9,1
62,4.1,53.7,25,61.5,2.1,0.3,0.3,0.5,0.6,1
82,1.7,30.1,7.1,78.1,1.1,2.6,0.3,0.1,1.1,1
53,2.2,36.6,29.4,60.9,0.5,2.2,0.5,0.1,1,0
47,2.9,40.2,16.7,83.3,0.9,2.3,0.5,0.2,1.3,0
36,4.1,40.8,38.5,65.4,1.1,0.8,0.6,0.1,1.1,1
62,2.6,51.3,0,65,2.4,0.1,0.3,0.8,0.5,1
37,3.5,49,0,67.4,1.3,0.5,0.5,0.2,0.5,0
60,3.1,49.4,0,50,2.6,0.4,0.3,0.3,0.5,1
51,2.2,40.4,25,81.3,0.9,1.5,0.5,0.1,0.7,1
42,4,43,10,69,1.3,0.5,0.3,0.1,0.5,1
33,3.8,48,10,82.4,1.1,0.4,0.4,0.1,0.4,1
33,3.8,48,10,82.4,1.1,0.4,0.4,0.1,0.4,0
57,3.3,36.9,30.8,63.8,2.2,0.8,0.7,0.4,1.2,1
57,3.3,36.9,30.8,63.8,2.2,0.8,0.7,0.4,1.2,0
24,5.3,41.8,24.4,60,1.8,0.8,1,0.4,1.1,0
77,6,46,40.1,71.2,3.2,0.9,0.7,0.2,0.8,0
72,2.5,41.5,0,73.8,1.3,0.6,0.3,0,0.5,0
49,2.6,36.4,22.2,66,0.6,1.4,0.3,0.1,0.9,1
46,3.3,50.4,40,70.6,1.1,0.4,0.3,0.1,0.7,0
43,1.6,34.9,11.1,56.3,0.6,1.7,0.5,0.1,0.4,1
35,1.9,31.9,20,77.3,0.7,1.1,0.3,0.1,0.8,0
51,2.2,47.4,0,78.3,1.4,0.2,0.2,0,0.5,1
41,2.4,42.2,0,68.2,1,0.2,0.2,0.1,0.3,1
82,13.6,43.2,25.4,77.4,4.8,10.6,2.5,0.1,3.1,1
61,13.8,47.7,30.8,81.9,2.3,7.1,1.5,0.1,3,1
58,7.2,43.7,29,65.6,2.6,3.2,0.6,0.3,1,0
55,14.8,47.5,0,67.9,7.9,1.3,1.1,0.5,2.2,1
67,12.4,43.9,33.3,87.9,3.4,6.4,1.7,0.1,2.5,1
42,7.6,40.7,20,83.3,4.5,2.3,0.9,0.4,1.8,1
35,10.4,35.6,22.4,72.7,3.4,1.7,0.8,0.6,1.8,1
35,10.4,35.6,22.4,72.7,3.4,1.7,0.8,0.6,1.8,1
82,11.7,50.1,20,60.4,6.3,1,0.7,1.5,1.7,1
80,9.2,46.1,20.8,83.9,2.4,5.5,1.3,0.3,1.8,1
81,7.7,50.1,0,62.6,5.5,1.1,0.6,0.7,1.1,1
82,10,48.8,35.5,80.1,2.3,1.6,0.7,0.2,1.2,1
61,9.6,40.4,26.7,74,2.3,1.9,0.9,0.4,1.9,1
66,8.6,48.2,0,51.2,4,1.2,0.7,0.5,1.6,1
59,8,42.3,33.8,81.5,3.7,1.6,0.5,0.8,0.8,0
79,7.9,46.3,17.4,57.6,3.8,2.1,1.1,0.7,1.7,1
82,8.5,49.1,36.7,77.2,4,1.3,0.8,0.8,1.3,1
79,5,39,18.8,78.4,1.7,5.1,1.6,0,1.3,1
78,8.1,42.8,0,72.5,4.2,1.4,0.7,0.3,1.4,1
24,5.2,39.1,38.5,72.5,1.1,2.9,1,0.1,1,0
39,5.7,45.9,0,87.1,4.5,0.8,0.3,0.1,0.9,1
75,5.6,43,0,70.7,2.9,0.9,0.5,0.9,1.6,0
79,3.6,53.2,0,64,3.4,0.5,0.4,0.3,0.7,1
58,2.7,37.4,24,71.9,1,3.1,0.3,0.1,1,0
49,5.3,44.6,0,72.2,0.6,1.2,0.4,0,1,0
70,4.2,49.6,23.1,80.6,2,0.7,0.3,0.6,0.8,1
40,3.8,42.2,20,89.7,0.7,1.5,0.1,0.1,0.6,0
55,3.1,47.4,0,56.3,2.6,0.4,0.2,0.3,0.6,1
59,2.5,47,0,73.5,0.7,1.7,0.6,0,0.9,0
44,2.4,40.4,0,81,0.6,2,0.4,0,0.9,0
49,4.5,46.6,0,70.2,1.3,0.5,0.3,0.3,0.6,1
44,1.1,38.5,0,44.4,1.9,0.4,0.2,0.3,0.5,0
41,1.9,36.7,0,66.7,1.7,0.5,0.1,0.3,0.6,0
36,1.3,37.5,28.6,61.5,0.4,0.6,0.2,0,0.5,1
45,6.2,37.7,37.3,74.4,1.8,2.7,0.5,0.2,0.9,0
50,1.7,31,0,60.4,1,0.3,0.3,0.1,0.4,0
82,22.9,45.5,21.3,68.4,4.8,4.8,2.5,1,4.2,1
82,18.8,46.8,35.5,74.7,8.3,3.6,1.1,0.2,2.6,1
80,14.6,48.5,0,74.5,7.9,1.9,0.7,2.1,1.7,1
80,15.7,53.8,0,69.6,8.1,3.8,0.6,0.8,3.1,1
71,5.3,47.5,0,61.7,4.7,8.2,1.8,0.6,2.2,1
68,10.4,49.1,0,75.7,5,1.1,0.7,0.7,1.1,1
63,15.9,53.1,0,64.9,4.9,1.7,0.6,0.6,2.4,0
78,9.2,45.4,22.2,64.6,4.7,2.4,1.6,0.4,1.6,1
80,5.9,39.6,31.9,77,2,0.7,0.9,0.1,0.3,0
80,8.5,45.5,20,72.8,4.7,1.3,0.6,0.8,1.1,1
77,8.8,43,25,74.1,2,2,1.2,0.3,1.7,1
81,10.3,43.7,29.8,80.1,2.1,3.6,0.8,0,1.5,1
50,6.7,39.7,0,58.1,4.9,1.1,0.4,0.7,1.7,1
80,5.3,45.4,27.9,77.7,2.3,4.5,0.9,0.1,1.9,1
75,7.5,46.7,33.3,67.6,7.1,0.7,0.8,1.1,1.4,1
67,6.9,40.8,32.9,83.3,1.7,3,0.6,0.1,1.6,1
82,5.3,56.2,0,61.4,3.6,0.7,0.5,1.5,0.9,1
64,7.9,49,22.2,66.3,3.3,1.2,0.3,0.4,0.9,1
68,6.6,58.1,0,72.7,4.2,0.5,0.5,0.5,1.4,1
77,6.5,54.5,0,58.7,4.3,0.7,0.5,0.6,1.2,1
68,6.6,45.6,8.3,74.3,3.5,1.3,0.3,0.2,1,1
77,5.2,47.6,0,63.2,3.5,0.5,0.3,0.4,1.1,1
66,4.4,47.1,0,69.3,2.9,0.8,0.6,0.2,0.7,1
67,4.6,42.3,25,72.9,2.6,1.8,0.6,0.3,0.9,0
65,5.4,47.6,0,68.7,3.4,0.4,0.3,0.3,1.2,1
65,5,41.3,35,76.9,1.6,1.1,0.7,0.3,0.8,0
62,4.2,52.7,0,63.9,3.5,0.4,0.3,0.1,0.9,1
64,5.5,45,23.5,70.1,1.7,1.3,0.4,0.1,0.9,0
59,5.6,54.4,0,64.9,2.9,1,0.3,0.5,1,1
70,7.4,65.9,0,62.6,4.4,0.9,0.7,0.8,1.1,0
62,5.8,44.1,32,79.7,1.7,0.7,0.4,0.1,0.9,1
35,3.8,39.3,0,35.3,2.9,0.5,0.2,0.2,1.1,0
42,3.3,38,33.3,75,0.8,1,0.6,0.1,0.7,0
59,5,41.1,4.5,86.8,1.2,0.5,0.3,0.1,0.8,1
45,4.2,48.6,0,60,1.7,0.6,0.2,0.2,0.4,0
67,4.9,42.6,28.3,78.9,1.2,0.9,0.4,0.1,0.7,1
60,3.8,46.8,0,69,1.5,0.7,0.3,0.3,0.6,1
41,3.1,42.7,0,75,1.4,1.1,0.3,0,0.6,0
62,3.7,43.6,0,74.6,1.9,0.4,0.1,0.1,0.6,1
43,3.4,37.8,20,63.6,1,0.8,0.3,0.1,0.8,0
53,2.1,45.5,0,60.8,2.2,0.3,0.1,0.6,0.6,0
54,2.3,33.8,31,63,0.6,0.6,0.2,0,0.5,0
50,20,47.4,0,73.9,9,2,1.1,2.1,3.4,0
82,17.1,49,20,68.7,8,2.4,1.2,0.5,3,1
81,14.9,49.6,0,48.1,8.9,2.9,1.3,0.5,3.4,1
81,14.7,51.5,0,68.4,7.2,1,0.4,0.5,2.3,1
79,11.1,49,33.3,74.6,7.6,1,0.8,2.6,1.8,1
55,14,46.3,18.5,89.6,2.1,1.9,1.3,0.4,1.4,1
81,12.5,46.8,28,55.7,2.6,2,0.8,0.1,1.9,1
82,9.4,48.1,31.3,79.8,1.5,4.8,0.8,0.1,1.9,1
82,6,42.6,0,73,4.3,1.1,0.5,0.5,1.1,0
77,9.6,51.9,0,66.2,8.6,1.7,0.9,0.4,2.3,1
82,8.3,50.7,0,60.7,5.7,0.7,0.5,0.8,1.4,1
58,7.4,46.6,22.2,78.1,6.1,1.2,0.5,0.6,1.3,0
80,8.5,55.8,0,67.3,3.9,1.1,0.9,0.5,1.9,1
82,6.4,53.9,16.7,61.1,4.6,0.7,0.6,0.6,1.2,1
71,4.7,45.6,0,53.1,4.1,0.6,0.4,0.1,1.2,1
64,7.7,46.9,0,64.7,4.3,0.3,0.5,0.1,1.1,1
79,7.8,48.3,18.2,78.5,1.6,4.3,1,0.1,2,1
79,7.1,47.4,31,80.6,1.5,2.5,1,0,1.3,1
34,7,42.7,31,59.6,3.3,0.5,0.5,0.5,1.2,0
71,4.9,45.7,31.1,61.1,1.9,2.9,0.9,0.1,1.4,0
78,4.7,47.2,9.1,61.9,3.1,1.1,1,0.8,1.2,0
76,5.5,48.1,27,78.5,1.7,3.5,0.9,0,1.4,0
80,5.2,46.5,0,72.3,4.7,0.6,0.3,0.4,1.3,1
68,5.2,40.9,17.6,58.3,1.7,0.9,0.4,0.1,0.9,0
64,4.1,52.8,?,43.5,3.8,0.3,0.2,0.3,0.9,0
64,4.1,52.8,?,43.5,3.8,0.3,0.2,0.3,0.9,0
53,2.8,60.4,?,42.5,2.8,0.3,0.4,0.4,0.4,0
66,5,48,0,85.2,1.5,0.8,0.3,0.1,0.9,0
77,4.5,38.4,32,75.6,1.6,0.9,0.4,0.2,0.6,0
45,3.7,40.8,20,60,1,1.8,0.4,0.1,1.1,0
45,3.5,38.3,11.1,51.4,0.7,1.5,0.8,0.1,0.9,0
64,4.3,45.5,0,72.8,1,1.2,0.4,0.1,0.7,1
55,3.7,44.4,50,55.8,1.5,1.6,0.8,0.3,0.9,1
57,4.5,44.2,20,92.6,1,0.9,0.4,0.1,0.6,1
36,3.4,55.7,0,66.7,1.1,0.2,0.1,0.2,0.5,0
57,3.2,36.4,25,92.9,0.8,1.2,0.3,0.1,0.9,1
48,3.2,40.7,0,79.5,2,0.3,0.1,0.2,0.8,1
75,2.8,30.8,26.4,64.4,1.4,3.2,0.9,0.1,1.2,0
82,28.2,51.5,17.3,84.5,6.5,5.9,2.4,0.8,3.5,1
80,14.1,47,0,76.7,4,3.1,1.2,0.1,2.5,1
76,10,53.7,0,71.1,8.6,2.8,0.7,2.7,2.3,1
82,14,54.5,16.7,73.3,8.6,1.9,1.2,1,2.5,1
82,11,47.1,25,82,7.4,1.6,0.8,0.8,1.2,1
80,8.8,44.6,20,82.9,2.1,4.4,1.3,0.1,2.1,1
79,10.6,51.1,?,78.4,5.7,0.5,0.5,1.1,1.5,1
