@relation 'tripadvisor_review-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-3,5-7,9-10_clustered'

@attribute Instance_number numeric
@attribute 'Category 4' numeric
@attribute 'Category 8' numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
349,0.63,2.78,cluster2
350,0.39,2.71,cluster2
351,0.42,2.95,cluster1
352,0.29,2.96,cluster1
353,0.42,3.07,cluster1
354,0.29,2.72,cluster2
355,0.81,2.75,cluster2
356,1.04,2.89,cluster1
357,0.55,2.83,cluster2
358,0.54,3.25,cluster1
359,0.3,2.62,cluster2
360,0.56,2.82,cluster2
361,0.53,2.8,cluster2
362,0.64,2.67,cluster2
363,0.37,3.01,cluster1
364,0.55,3.17,cluster1
365,0.61,2.73,cluster2
366,0.59,2.79,cluster2
367,0.56,3.04,cluster1
368,0.45,2.94,cluster1
369,0.53,2.7,cluster2
370,0.3,2.82,cluster2
371,0.46,2.73,cluster2
372,1.68,2.79,cluster0
373,0.69,2.86,cluster1
374,0.53,2.94,cluster1
375,0.67,2.9,cluster1
376,0.64,2.71,cluster2
377,0.5,2.94,cluster1
378,0.54,2.94,cluster1
379,0.51,2.66,cluster2
380,0.24,3.02,cluster1
381,0.17,2.99,cluster1
382,0.87,2.95,cluster1
383,0.33,2.87,cluster1
384,0.22,2.85,cluster1
385,0.69,2.66,cluster2
386,0.54,2.82,cluster2
387,0.61,2.78,cluster2
388,0.57,2.7,cluster2
389,0.65,2.74,cluster2
390,0.5,2.97,cluster1
391,0.29,2.66,cluster2
392,0.63,3.13,cluster1
393,0.5,2.91,cluster1
394,0.37,3.14,cluster1
395,0.48,2.87,cluster1
396,0.43,2.66,cluster2
397,0.49,2.86,cluster1
398,0.26,2.89,cluster1
399,0.41,2.86,cluster1
400,0.48,3.05,cluster1
401,0.57,2.94,cluster1
402,0.78,2.97,cluster1
403,0.47,2.7,cluster2
404,0.56,2.74,cluster2
405,0.63,2.75,cluster2
406,0.43,2.77,cluster2
407,0.63,2.78,cluster2
408,0.45,2.66,cluster2
409,0.61,2.91,cluster1
410,0.33,2.74,cluster2
411,0.56,2.83,cluster2
412,0.54,2.66,cluster2
413,0.91,2.7,cluster2
414,0.53,2.87,cluster1
415,0.63,2.78,cluster2
416,0.31,3.15,cluster1
417,0.29,2.93,cluster1
418,0.43,2.89,cluster1
419,0.66,2.87,cluster1
420,0.43,2.64,cluster2
421,0.37,2.61,cluster2
422,1.58,2.74,cluster0
423,0.42,3.07,cluster1
424,0.37,2.86,cluster1
425,0.78,2.85,cluster1
426,0.41,2.78,cluster2
427,0.32,2.9,cluster1
428,0.45,2.73,cluster2
429,0.38,2.93,cluster1
430,0.66,2.95,cluster1
431,0.67,2.96,cluster1
432,0.49,2.54,cluster2
433,0.58,2.71,cluster2
434,0.47,2.73,cluster2
435,0.43,2.89,cluster1
436,0.46,2.88,cluster1
437,2.11,2.78,cluster0
438,0.49,3.13,cluster1
439,0.64,2.77,cluster2
440,0.46,2.7,cluster2
441,0.42,2.63,cluster2
442,0.43,2.75,cluster2
443,0.5,2.89,cluster1
444,0.62,2.82,cluster2
445,0.19,2.7,cluster2
446,0.48,2.78,cluster2
447,0.29,2.91,cluster1
448,0.45,2.82,cluster2
449,0.43,2.91,cluster1
450,0.4,2.86,cluster1
451,0.57,2.74,cluster2
452,0.45,2.83,cluster2
453,0.49,2.74,cluster2
454,0.57,2.75,cluster2
455,0.29,2.7,cluster2
456,0.46,2.67,cluster2
457,0.56,2.8,cluster2
458,0.53,2.75,cluster2
459,0.48,2.75,cluster2
460,0.5,3.2,cluster1
461,0.24,2.61,cluster2
462,0.54,2.78,cluster2
463,0.46,3.07,cluster1
464,0.61,2.88,cluster1
465,0.64,3.04,cluster1
466,0.3,2.67,cluster2
467,0.65,3.38,cluster1
468,0.4,2.78,cluster2
469,0.48,2.77,cluster2
470,0.38,2.42,cluster2
471,0.43,2.95,cluster1
472,0.46,2.72,cluster2
473,0.85,2.94,cluster1
474,0.32,2.63,cluster2
475,0.64,2.94,cluster1
476,0.4,2.82,cluster2
477,0.32,2.62,cluster2
478,0.85,2.69,cluster2
479,0.42,2.58,cluster2
480,0.53,2.66,cluster2
481,0.71,2.86,cluster1
482,0.55,2.74,cluster2
483,0.53,3.18,cluster1
484,0.51,2.9,cluster1
485,0.27,2.66,cluster2
486,0.62,2.94,cluster1
487,0.57,3.06,cluster1
488,0.31,2.91,cluster1
489,0.79,2.77,cluster2
490,0.37,2.69,cluster2
491,0.33,3.03,cluster1
492,0.39,2.79,cluster2
493,0.53,2.79,cluster2
494,0.57,2.78,cluster2
495,0.39,2.95,cluster1
496,0.48,2.88,cluster1
497,0.51,2.75,cluster2
498,0.45,2.96,cluster1
499,0.5,2.98,cluster1
500,0.51,2.7,cluster2
501,0.32,2.86,cluster1
502,0.41,2.83,cluster2
503,0.35,3.01,cluster1
504,0.58,2.99,cluster1
505,0.51,2.89,cluster1
506,0.48,3.05,cluster1
507,0.64,2.74,cluster2
508,0.51,2.81,cluster2
509,0.33,3.07,cluster1
510,0.55,2.66,cluster2
511,0.33,2.94,cluster1
512,0.53,2.9,cluster1
513,0.65,2.69,cluster2
514,0.42,2.57,cluster2
515,0.5,2.97,cluster1
516,0.72,2.9,cluster1
517,0.53,2.9,cluster1
518,0.37,2.62,cluster2
519,0.55,3.23,cluster1
520,0.33,2.89,cluster1
521,0.61,2.77,cluster2
522,0.57,2.58,cluster2
523,0.42,2.86,cluster1
524,0.57,2.95,cluster1
525,0.49,2.7,cluster2
526,0.49,2.78,cluster2
527,0.59,3.06,cluster1
528,0.39,2.72,cluster2
529,0.58,2.95,cluster1
530,0.64,2.78,cluster2
531,0.69,2.9,cluster1
532,0.56,2.66,cluster2
533,0.45,2.9,cluster1
534,0.41,2.66,cluster2
535,0.45,2.77,cluster2
536,0.72,2.75,cluster2
537,0.51,2.66,cluster2
538,0.47,2.83,cluster2
539,0.42,2.83,cluster2
540,0.35,2.86,cluster1
541,0.34,2.64,cluster2
542,0.46,2.98,cluster1
543,0.4,2.77,cluster2
544,0.57,2.74,cluster2
545,0.41,2.98,cluster1
546,0.46,2.59,cluster2
547,0.58,2.95,cluster1
548,0.61,2.82,cluster2
549,0.48,2.95,cluster1
550,0.35,2.85,cluster1
551,0.56,2.72,cluster2
552,0.47,3.06,cluster1
553,0.75,2.85,cluster1
554,0.53,2.71,cluster2
555,0.5,2.88,cluster1
556,0.49,2.82,cluster2
557,0.53,2.74,cluster2
558,0.33,2.98,cluster1
559,0.35,3.03,cluster1
560,0.5,2.63,cluster2
561,0.49,2.61,cluster2
562,0.55,2.85,cluster1
563,0.5,2.64,cluster2
564,0.62,2.86,cluster1
565,0.24,2.74,cluster2
566,0.57,2.86,cluster1
567,0.48,2.98,cluster1
568,0.56,2.62,cluster2
569,0.43,2.95,cluster1
570,0.56,2.72,cluster2
571,0.29,2.98,cluster1
572,0.39,2.85,cluster1
573,0.41,2.67,cluster2
574,0.62,3.02,cluster1
575,0.66,2.83,cluster2
576,0.43,3.03,cluster1
577,0.56,2.8,cluster2
578,0.56,2.81,cluster2
579,1.12,2.8,cluster2
580,0.33,2.74,cluster2
581,0.47,2.79,cluster2
582,0.62,2.78,cluster2
583,0.45,2.86,cluster1
584,0.47,2.72,cluster2
585,0.48,3.01,cluster1
586,0.33,2.88,cluster1
587,0.32,2.79,cluster2
588,0.58,2.66,cluster2
589,0.39,2.89,cluster1
590,0.5,2.81,cluster2
591,0.31,2.98,cluster1
592,2.38,2.81,cluster0
593,0.54,2.87,cluster1
594,0.39,2.96,cluster1
595,0.35,2.98,cluster1
596,0.49,2.97,cluster1
597,0.65,2.86,cluster1
598,0.5,2.7,cluster2
599,0.5,2.78,cluster2
600,0.4,2.83,cluster2
601,3.1,2.77,cluster0
602,0.61,2.61,cluster2
603,0.35,2.94,cluster1
604,0.91,3.09,cluster1
605,0.39,3.09,cluster1
606,0.4,2.58,cluster2
607,0.48,2.89,cluster1
608,0.48,2.67,cluster2
609,0.59,2.85,cluster1
610,0.58,3.02,cluster1
611,0.62,2.78,cluster2
612,0.39,3.39,cluster1
613,0.51,2.87,cluster1
614,0.5,2.97,cluster1
615,0.33,2.7,cluster2
616,0.64,2.85,cluster1
617,0.39,2.93,cluster1
618,0.43,3.03,cluster1
619,0.38,2.85,cluster1
620,0.49,2.7,cluster2
621,0.55,2.85,cluster1
622,0.43,2.7,cluster2
623,0.51,2.8,cluster2
624,0.42,2.71,cluster2
625,0.59,2.95,cluster1
626,0.5,2.89,cluster1
627,0.34,2.73,cluster2
628,0.43,2.75,cluster2
629,0.41,2.9,cluster1
630,0.41,2.72,cluster2
631,0.34,2.81,cluster2
632,0.49,2.56,cluster2
633,0.61,2.79,cluster2
634,0.46,2.78,cluster2
635,0.63,2.86,cluster1
636,0.55,2.88,cluster1
637,0.66,2.85,cluster1
638,0.58,2.95,cluster1
639,0.42,2.87,cluster1
640,0.63,2.98,cluster1
641,0.61,3.22,cluster1
642,0.66,2.72,cluster2
643,0.61,2.82,cluster2
644,0.49,2.69,cluster2
645,0.41,2.81,cluster2
646,0.56,2.86,cluster1
647,0.39,2.77,cluster2
648,0.5,2.9,cluster1
649,0.51,2.74,cluster2
650,0.56,3.2,cluster1
651,0.24,2.9,cluster1
652,0.41,2.81,cluster2
653,0.51,3.04,cluster1
654,0.58,2.63,cluster2
655,0.66,2.65,cluster2
656,0.39,2.82,cluster2
657,0.47,2.87,cluster1
658,0.34,3.18,cluster1
659,0.51,2.81,cluster2
660,0.53,2.82,cluster2
661,0.42,3.07,cluster1
662,0.5,2.86,cluster1
663,0.5,2.91,cluster1
664,0.43,2.86,cluster1
665,0.27,2.78,cluster2
666,3.44,2.62,cluster0
667,0.67,2.7,cluster2
668,0.32,2.79,cluster2
669,0.41,2.83,cluster2
670,0.49,2.86,cluster1
671,0.59,2.85,cluster1
672,0.46,2.74,cluster2
673,0.47,2.74,cluster2
674,0.61,2.74,cluster2
675,0.38,2.66,cluster2
676,0.26,2.89,cluster1
677,0.5,2.75,cluster2
678,0.43,2.77,cluster2
679,0.41,2.91,cluster1
680,0.65,2.88,cluster1
681,0.29,2.94,cluster1
682,0.5,2.94,cluster1
683,0.51,3.02,cluster1
684,0.61,2.82,cluster2
685,0.62,2.89,cluster1
686,0.46,2.85,cluster1
687,0.57,2.88,cluster1
688,0.35,2.74,cluster2
689,0.62,2.85,cluster1
690,0.39,2.95,cluster1
691,0.31,2.83,cluster2
692,0.25,2.98,cluster1
693,0.49,2.83,cluster2
694,2.25,2.69,cluster0
695,0.47,2.95,cluster1
696,0.41,2.9,cluster1
697,0.69,2.72,cluster2
698,0.4,2.77,cluster2
699,0.4,2.7,cluster2
700,0.61,2.98,cluster1
701,0.55,2.94,cluster1
702,0.79,2.66,cluster2
703,0.43,2.95,cluster1
704,0.24,2.8,cluster2
705,0.42,2.86,cluster1
706,0.55,2.99,cluster1
707,0.58,2.81,cluster2
708,0.72,2.86,cluster1
709,0.33,2.85,cluster1
710,0.66,2.79,cluster2
711,0.61,2.93,cluster1
712,0.4,3.19,cluster1
713,0.41,2.7,cluster2
714,0.41,2.9,cluster1
715,0.31,2.9,cluster1
716,0.42,3.07,cluster1
717,0.59,2.62,cluster2
718,0.62,2.82,cluster2
719,0.63,2.9,cluster1
720,0.63,2.93,cluster1
721,0.4,2.66,cluster2
722,0.71,2.82,cluster2
723,0.69,2.73,cluster2
724,0.38,2.91,cluster1
725,0.54,2.86,cluster1
726,0.53,2.95,cluster1
727,0.67,3.07,cluster1
728,1.98,2.7,cluster0
729,0.39,2.79,cluster2
730,0.33,2.91,cluster1
731,0.71,2.98,cluster1
732,0.59,2.86,cluster1
733,0.43,2.66,cluster2
734,0.35,2.74,cluster2
735,0.65,2.93,cluster1
736,0.56,2.82,cluster2
737,0.64,3.04,cluster1
738,0.61,2.94,cluster1
739,0.32,2.67,cluster2
740,0.64,2.82,cluster2
741,0.55,2.87,cluster1
742,0.41,2.94,cluster1
743,0.51,2.66,cluster2
744,0.39,2.87,cluster1
745,0.9,2.85,cluster1
746,0.47,2.9,cluster1
747,1.83,2.74,cluster0
748,0.38,2.66,cluster2
749,0.42,2.86,cluster1
750,0.66,2.74,cluster2
751,0.38,3.04,cluster1
752,0.59,2.77,cluster2
753,0.39,3.01,cluster1
754,0.75,2.78,cluster2
755,0.39,3.12,cluster1
756,0.45,3.14,cluster1
757,0.46,2.83,cluster2
758,0.41,2.69,cluster2
759,0.33,2.81,cluster2
760,0.62,2.78,cluster2
761,0.59,2.88,cluster1
762,0.46,2.94,cluster1
763,0.49,2.88,cluster1
764,0.57,2.54,cluster2
765,0.37,2.75,cluster2
766,0.61,2.66,cluster2
767,0.55,2.87,cluster1
768,0.69,3.19,cluster1
769,0.53,2.86,cluster1
770,0.46,2.77,cluster2
771,0.29,2.48,cluster2
772,0.5,3.01,cluster1
773,0.51,2.62,cluster2
774,0.53,2.95,cluster1
775,1.1,3.17,cluster1
776,0.35,3.04,cluster1
777,0.5,2.86,cluster1
778,0.55,2.66,cluster2
779,0.29,2.98,cluster1
780,0.54,2.81,cluster2
781,0.47,2.87,cluster1
782,0.55,2.75,cluster2
783,0.3,2.99,cluster1
784,0.43,2.95,cluster1
785,0.45,3.1,cluster1
786,0.53,2.98,cluster1
787,0.63,2.87,cluster1
788,0.34,2.81,cluster2
789,0.43,2.78,cluster2
790,0.33,2.98,cluster1
791,0.56,2.72,cluster2
792,0.54,2.74,cluster2
793,0.46,2.95,cluster1
794,0.55,2.81,cluster2
795,0.59,2.82,cluster2
796,0.42,3.01,cluster1
797,0.55,2.63,cluster2
798,0.47,2.78,cluster2
799,0.53,2.9,cluster1
800,0.49,2.86,cluster1
801,0.47,2.74,cluster2
802,0.47,3.07,cluster1
803,0.55,2.83,cluster2
804,0.5,2.79,cluster2
805,0.55,2.7,cluster2
806,0.58,2.87,cluster1
807,0.56,2.74,cluster2
808,0.51,2.7,cluster2
809,0.57,2.73,cluster2
810,0.61,2.86,cluster1
811,0.53,3.33,cluster1
812,0.39,3.02,cluster1
813,0.42,2.87,cluster1
814,0.54,2.97,cluster1
815,0.58,2.88,cluster1
816,0.54,2.75,cluster2
817,0.58,2.91,cluster1
818,0.57,2.94,cluster1
819,0.57,2.58,cluster2
820,0.56,2.94,cluster1
821,0.57,2.83,cluster2
822,0.47,2.74,cluster2
823,0.58,2.74,cluster2
824,1.05,2.7,cluster2
825,0.65,2.66,cluster2
826,0.57,2.86,cluster1
827,0.43,2.58,cluster2
828,0.58,2.63,cluster2
829,2.29,2.69,cluster0
830,0.48,3.06,cluster1
831,0.51,2.74,cluster2
832,0.27,2.67,cluster2
833,0.38,2.78,cluster2
834,0.5,2.88,cluster1
835,0.47,2.74,cluster2
836,0.65,2.8,cluster2
837,1.3,2.74,cluster0
838,0.53,3.05,cluster1
839,0.47,2.81,cluster2
840,0.33,3.03,cluster1
841,0.32,2.82,cluster2
842,0.41,2.8,cluster2
843,0.35,2.88,cluster1
844,0.35,3.06,cluster1
845,0.48,2.87,cluster1
846,0.37,2.64,cluster2
847,0.62,2.85,cluster1
848,0.39,2.75,cluster2
849,0.22,2.71,cluster2
850,0.47,2.97,cluster1
851,0.53,2.79,cluster2
852,0.61,2.93,cluster1
853,0.65,2.87,cluster1
854,0.53,2.74,cluster2
855,0.34,2.79,cluster2
856,0.65,2.87,cluster1
857,0.45,2.91,cluster1
858,0.56,3.2,cluster1
859,0.58,2.72,cluster2
860,0.56,2.86,cluster1
861,0.5,3.07,cluster1
862,0.62,2.86,cluster1
863,0.38,2.83,cluster2
864,0.33,2.93,cluster1
865,0.39,2.9,cluster1
866,0.4,2.82,cluster2
867,0.43,2.8,cluster2
868,0.42,2.89,cluster1
869,0.51,2.97,cluster1
870,0.59,2.8,cluster2
871,0.49,2.79,cluster2
872,0.35,2.78,cluster2
873,0.66,3.13,cluster1
874,0.39,2.94,cluster1
875,0.67,3.05,cluster1
876,0.51,2.7,cluster2
877,0.25,2.86,cluster1
878,0.42,2.78,cluster2
879,0.54,2.87,cluster1
880,0.42,2.85,cluster1
881,0.39,2.49,cluster2
882,0.47,2.86,cluster1
883,0.71,2.66,cluster2
884,0.47,2.75,cluster2
885,0.64,2.9,cluster1
886,0.51,2.74,cluster2
887,0.41,2.81,cluster2
888,0.95,2.66,cluster2
889,0.48,2.57,cluster2
890,0.62,2.74,cluster2
891,0.53,2.74,cluster2
892,0.53,2.95,cluster1
893,0.55,2.83,cluster2
894,0.49,2.77,cluster2
895,0.61,2.87,cluster1
896,0.94,3.04,cluster1
897,0.35,3.02,cluster1
898,0.35,2.67,cluster2
899,0.48,2.66,cluster2
900,0.37,2.78,cluster2
901,0.55,2.71,cluster2
902,1.09,3.14,cluster1
903,1.91,2.64,cluster0
904,0.31,2.72,cluster2
905,0.42,2.91,cluster1
906,0.59,2.94,cluster1
907,0.53,2.95,cluster1
908,0.49,3.22,cluster1
909,0.34,2.49,cluster2
910,0.53,2.93,cluster1
911,0.46,2.93,cluster1
912,0.29,2.97,cluster1
